sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,petal_ratio,sepal_petal_mul
5.1,3.5,1.4,0.2,0,1.2,3.6999999999999997
4.9,3.0,1.4,0.2,0,1.2,3.5000000000000004
4.7,3.2,1.3,0.2,0,1.1,3.4000000000000004
4.6,3.1,1.5,0.2,0,1.3,3.0999999999999996
5.0,3.6,1.4,0.2,0,1.2,3.6
5.4,3.9,1.7,0.4,0,1.2999999999999998,3.7
4.6,3.4,1.4,0.3,0,1.0999999999999999,3.1999999999999997
5.0,3.4,1.5,0.2,0,1.3,3.5
4.4,2.9,1.4,0.2,0,1.2,3.0000000000000004
4.9,3.1,1.5,0.1,0,1.4,3.4000000000000004
5.4,3.7,1.5,0.2,0,1.3,3.9000000000000004
4.8,3.4,1.6,0.2,0,1.4000000000000001,3.1999999999999997
4.8,3.0,1.4,0.1,0,1.2999999999999998,3.4
4.3,3.0,1.1,0.1,0,1.0,3.1999999999999997
5.8,4.0,1.2,0.2,0,1.0,4.6
5.7,4.4,1.5,0.4,0,1.1,4.2
5.4,3.9,1.3,0.4,0,0.9,4.1000000000000005
5.1,3.5,1.4,0.3,0,1.0999999999999999,3.6999999999999997
5.7,3.8,1.7,0.3,0,1.4,4.0
5.1,3.8,1.5,0.3,0,1.2,3.5999999999999996
5.4,3.4,1.7,0.2,0,1.5,3.7
5.1,3.7,1.5,0.4,0,1.1,3.5999999999999996
4.6,3.6,1.0,0.2,0,0.8,3.5999999999999996
5.1,3.3,1.7,0.5,0,1.2,3.3999999999999995
4.8,3.4,1.9,0.2,0,1.7,2.9
5.0,3.0,1.6,0.2,0,1.4000000000000001,3.4
5.0,3.4,1.6,0.4,0,1.2000000000000002,3.4
5.2,3.5,1.5,0.2,0,1.3,3.7
5.2,3.4,1.4,0.2,0,1.2,3.8000000000000003
4.7,3.2,1.6,0.2,0,1.4000000000000001,3.1
4.8,3.1,1.6,0.2,0,1.4000000000000001,3.1999999999999997
5.4,3.4,1.5,0.4,0,1.1,3.9000000000000004
5.2,4.1,1.5,0.1,0,1.4,3.7
5.5,4.2,1.4,0.2,0,1.2,4.1
4.9,3.1,1.5,0.2,0,1.3,3.4000000000000004
5.0,3.2,1.2,0.2,0,1.0,3.8
5.5,3.5,1.3,0.2,0,1.1,4.2
4.9,3.6,1.4,0.1,0,1.2999999999999998,3.5000000000000004
4.4,3.0,1.3,0.2,0,1.1,3.1000000000000005
5.1,3.4,1.5,0.2,0,1.3,3.5999999999999996
5.0,3.5,1.3,0.3,0,1.0,3.7
4.5,2.3,1.3,0.3,0,1.0,3.2
4.4,3.2,1.3,0.2,0,1.1,3.1000000000000005
5.0,3.5,1.6,0.6,0,1.0,3.4
5.1,3.8,1.9,0.4,0,1.5,3.1999999999999997
4.8,3.0,1.4,0.3,0,1.0999999999999999,3.4
5.1,3.8,1.6,0.2,0,1.4000000000000001,3.4999999999999996
4.6,3.2,1.4,0.2,0,1.2,3.1999999999999997
5.3,3.7,1.5,0.2,0,1.3,3.8
5.0,3.3,1.4,0.2,0,1.2,3.6
7.0,3.2,4.7,1.4,1,3.3000000000000003,2.3
6.4,3.2,4.5,1.5,1,3.0,1.9000000000000004
6.9,3.1,4.9,1.5,1,3.4000000000000004,2.0
5.5,2.3,4.0,1.3,1,2.7,1.5
6.5,2.8,4.6,1.5,1,3.0999999999999996,1.9000000000000004
5.7,2.8,4.5,1.3,1,3.2,1.2000000000000002
6.3,3.3,4.7,1.6,1,3.1,1.5999999999999996
4.9,2.4,3.3,1.0,1,2.3,1.6000000000000005
6.6,2.9,4.6,1.3,1,3.3,2.0
5.2,2.7,3.9,1.4,1,2.5,1.3000000000000003
5.0,2.0,3.5,1.0,1,2.5,1.5
5.9,3.0,4.2,1.5,1,2.7,1.7000000000000002
6.0,2.2,4.0,1.0,1,3.0,2.0
6.1,2.9,4.7,1.4,1,3.3000000000000003,1.3999999999999995
5.6,2.9,3.6,1.3,1,2.3,1.9999999999999996
6.7,3.1,4.4,1.4,1,3.0000000000000004,2.3
5.6,3.0,4.5,1.5,1,3.0,1.0999999999999996
5.8,2.7,4.1,1.0,1,3.0999999999999996,1.7000000000000002
6.2,2.2,4.5,1.5,1,3.0,1.7000000000000002
5.6,2.5,3.9,1.1,1,2.8,1.6999999999999997
5.9,3.2,4.8,1.8,1,3.0,1.1000000000000005
6.1,2.8,4.0,1.3,1,2.7,2.0999999999999996
6.3,2.5,4.9,1.5,1,3.4000000000000004,1.3999999999999995
6.1,2.8,4.7,1.2,1,3.5,1.3999999999999995
6.4,2.9,4.3,1.3,1,3.0,2.1000000000000005
6.6,3.0,4.4,1.4,1,3.0000000000000004,2.1999999999999993
6.8,2.8,4.8,1.4,1,3.4,2.0
6.7,3.0,5.0,1.7,1,3.3,1.7000000000000002
6.0,2.9,4.5,1.5,1,3.0,1.5
5.7,2.6,3.5,1.0,1,2.5,2.2
5.5,2.4,3.8,1.1,1,2.6999999999999997,1.7000000000000002
5.5,2.4,3.7,1.0,1,2.7,1.7999999999999998
5.8,2.7,3.9,1.2,1,2.7,1.9
6.0,2.7,5.1,1.6,1,3.4999999999999996,0.9000000000000004
5.4,3.0,4.5,1.5,1,3.0,0.9000000000000004
6.0,3.4,4.5,1.6,1,2.9,1.5
6.7,3.1,4.7,1.5,1,3.2,2.0
6.3,2.3,4.4,1.3,1,3.1000000000000005,1.8999999999999995
5.6,3.0,4.1,1.3,1,2.8,1.5
5.5,2.5,4.0,1.3,1,2.7,1.5
5.5,2.6,4.4,1.2,1,3.2,1.0999999999999996
6.1,3.0,4.6,1.4,1,3.1999999999999997,1.5
5.8,2.6,4.0,1.2,1,2.8,1.7999999999999998
5.0,2.3,3.3,1.0,1,2.3,1.7000000000000002
5.6,2.7,4.2,1.3,1,2.9000000000000004,1.3999999999999995
5.7,3.0,4.2,1.2,1,3.0,1.5
5.7,2.9,4.2,1.3,1,2.9000000000000004,1.5
6.2,2.9,4.3,1.3,1,3.0,1.9000000000000004
5.1,2.5,3.0,1.1,1,1.9,2.0999999999999996
5.7,2.8,4.1,1.3,1,2.8,1.6000000000000005
6.3,3.3,6.0,2.5,2,3.5,0.2999999999999998
5.8,2.7,5.1,1.9,2,3.1999999999999997,0.7000000000000002
7.1,3.0,5.9,2.1,2,3.8000000000000003,1.1999999999999993
6.3,2.9,5.6,1.8,2,3.8,0.7000000000000002
6.5,3.0,5.8,2.2,2,3.5999999999999996,0.7000000000000002
7.6,3.0,6.6,2.1,2,4.5,1.0
4.9,2.5,4.5,1.7,2,2.8,0.40000000000000036
7.3,2.9,6.3,1.8,2,4.5,1.0
6.7,2.5,5.8,1.8,2,4.0,0.9000000000000004
7.2,3.6,6.1,2.5,2,3.5999999999999996,1.1000000000000005
6.5,3.2,5.1,2.0,2,3.0999999999999996,1.4000000000000004
6.4,2.7,5.3,1.9,2,3.4,1.1000000000000005
6.8,3.0,5.5,2.1,2,3.4,1.2999999999999998
5.7,2.5,5.0,2.0,2,3.0,0.7000000000000002
5.8,2.8,5.1,2.4,2,2.6999999999999997,0.7000000000000002
6.4,3.2,5.3,2.3,2,3.0,1.1000000000000005
6.5,3.0,5.5,1.8,2,3.7,1.0
7.7,3.8,6.7,2.2,2,4.5,1.0
7.7,2.6,6.9,2.3,2,4.6000000000000005,0.7999999999999998
6.0,2.2,5.0,1.5,2,3.5,1.0
6.9,3.2,5.7,2.3,2,3.4000000000000004,1.2000000000000002
5.6,2.8,4.9,2.0,2,2.9000000000000004,0.6999999999999993
7.7,2.8,6.7,2.0,2,4.7,1.0
6.3,2.7,4.9,1.8,2,3.1000000000000005,1.3999999999999995
6.7,3.3,5.7,2.1,2,3.6,1.0
7.2,3.2,6.0,1.8,2,4.2,1.2000000000000002
6.2,2.8,4.8,1.8,2,3.0,1.4000000000000004
6.1,3.0,4.9,1.8,2,3.1000000000000005,1.1999999999999993
6.4,2.8,5.6,2.1,2,3.4999999999999996,0.8000000000000007
7.2,3.0,5.8,1.6,2,4.199999999999999,1.4000000000000004
7.4,2.8,6.1,1.9,2,4.199999999999999,1.3000000000000007
7.9,3.8,6.4,2.0,2,4.4,1.5
6.4,2.8,5.6,2.2,2,3.3999999999999995,0.8000000000000007
6.3,2.8,5.1,1.5,2,3.5999999999999996,1.2000000000000002
6.1,2.6,5.6,1.4,2,4.199999999999999,0.5
7.7,3.0,6.1,2.3,2,3.8,1.6000000000000005
6.3,3.4,5.6,2.4,2,3.1999999999999997,0.7000000000000002
6.4,3.1,5.5,1.8,2,3.7,0.9000000000000004
6.0,3.0,4.8,1.8,2,3.0,1.2000000000000002
6.9,3.1,5.4,2.1,2,3.3000000000000003,1.5
6.7,3.1,5.6,2.4,2,3.1999999999999997,1.1000000000000005
6.9,3.1,5.1,2.3,2,2.8,1.8000000000000007
5.8,2.7,5.1,1.9,2,3.1999999999999997,0.7000000000000002
6.8,3.2,5.9,2.3,2,3.6000000000000005,0.8999999999999995
6.7,3.3,5.7,2.5,2,3.2,1.0
6.7,3.0,5.2,2.3,2,2.9000000000000004,1.5
6.3,2.5,5.0,1.9,2,3.1,1.2999999999999998
6.5,3.0,5.2,2.0,2,3.2,1.2999999999999998
6.2,3.4,5.4,2.3,2,3.1000000000000005,0.7999999999999998
5.9,3.0,5.1,1.8,2,3.3,0.8000000000000007
